question,answer
What is the difference between multidrug-resistant TB (MDR-TB) and extensively-resistant TB (XDR-TB)?,"Both indicate strains of Mycobacteria tuberculosis that can be difficult to treat, but XDR-TB is resistant to more drug therapies. MDR-TB is resistant to the two most powerful drugs, isoniazid and rifampin. XDR-TB is currently defined by the Centers for Disease Control and Prevention and the World Health Organization as M. tuberculosis that is resistant to isoniazid and rifampin plus resistant to any fluoroquinolone and to at least one of three injectable ""second-line"" drugs (amikacin, kanamycin, or capreomycin). The emergence of XDR-TB represents a public health risk and is being closely watched by the world medical community and measures are being taken in hopes of limiting its spread."
Why is my healthcare provider asking me to take my TB medication in the presence of a nurse?,"The practice of taking TB medications in the presence of a healthcare practitioner is known as direct observed therapy (DOT). DOT ensures that people are taking their medications and continuing their therapy for the required length of time. Unlike other bacterial infections that can be cured in 7-10 days, TB must be treated with two or more drugs for several months. People tend to forget to take their medication when they are feeling better. Since TB medications must be taken for many months, the risk of non-compliance is high. Having a healthcare practitioner administer the medications weekly increases the likelihood that the entire regimen will be completed and decreases the likelihood that someone will relapse with a more resistant strain of TB."
"Besides TB, what other types of mycobacteria can be identified with AFB testing?","Examples of other mycobacteria that can cause infections and are detected using AFB tests include:

Mycobacterium avium-intracellulare complex (MAC)—can cause a lung infection in people with weakened immune systems, such as those with AIDS; this infection is not contagious but it can be difficult to treat as it tends to be highly resistant to antibiotics.
Mycobacterial species, such as Mycobacterium marinum, grow in water, such as fish tanks, and can cause skin infections.
Mycobacterium fortuitum, Mycobacterium abscessus and Mycobacterium chelonae, and other rapidly growing mycobacteria, cause skin and wound infections following cosmetic surgery, prosthetic device implantation, and visits to nail salons.
A few mycobacteria, such as Mycobacterium bovis, can sometimes be transferred from animals to humans.

See the article on Nontuberculous Mycobacteria for more examples and details.
Nocardia species are not a type of mycobacteria but can be detected using some AFB laboratory tests. Nocardia can cause infections of the lungs, brain, or skin."
I have been taking prednisone (glucocorticoid medication) for some time. Why would suddenly stopping it cause signs and symptoms of adrenal insufficiency?,"Glucocorticoids such as prednisone, hydrocortisone, dexamethasone, etc. are prescribed for a variety of conditions. These medications can suppress cortisol production by the adrenal glands. If you need to stop taking them, your healthcare practitioner will usually taper off your dose so that your adrenal gland cortisol production has time to restart and you avoid ""withdrawal"" adrenal insufficiency symptoms. In some people who have taken glucocorticoids chronically (especially at high dose) for various medical conditions (other than Addison disease), it may take up to one year for the body to resume normal cortisol production after the glucocorticoids are stopped."
What are the causes of primary adrenal insufficiency?,"The most common cause of primary adrenal insufficiency in adults in the U.S. is an autoimmune disorder where the body's immune system attacks the adrenal glands. The most common cause of primary adrenal insufficiency in children in the U.S. is a congenital disease called congenital adrenal hyperplasia (CAH). Other causes in any age group include damage from bleeding into the adrenal glands and infections such as tuberculosis or HIV infection. (For more, see Adrenal Insufficiency and Addison Disease)."
Why is my healthcare provider testing me for 21-hydroxylase autoantibodies and/or adrenal cytoplasmic autoantibodies?,Tests for these autoantibodies can help determine the cause of primary adrenal insufficiency. The most common cause of primary adrenal insufficiency in adults (about 75%) is an autoimmune process in which an inappropriate immune response destroys tissues within the adrenal glands. 21-hydroxylase autoantibodies and/or adrenal cytoplasmic autoantibodies are markers of this autoimmune process.
Is ACT ever done in the central laboratory?,"The ACT test is rarely performed in the central laboratory. It is a point-of-care test that must be performed immediately after the blood is collected, close to the patient, usually at the bedside, in the operating room, or in a satellite laboratory close to these locations. The ACT result is needed quickly to guide treatment."
Can lupus anticoagulant interfere with the ACT test?,"In some patients, the presence of a lupus anticoagulant (LAC) has been shown to prolong the ACT, but in other cases the ACT may be relatively unaffected. Nevertheless, the presence of LAC has been shown to interfere with certain ACT testing. Therefore, it is important for the laboratory to follow the manufacturer's instructions and determine if the test is suitable to monitor heparin therapy in a person with documented history of LAC or antiphospholipid syndrome."
Are these tests always run as a panel?,"No. Sometimes, if the particular hepatitis virus a person was exposed to is known, tests specific for that virus may be performed. Also, some of these tests are used for other purposes, such as monitoring the progression of disease or determining if treatment is working, and they may be run singly or in different combinations in those cases. For more about other tests used in viral hepatitis infections, see the individual articles on Hepatitis A Testing, Hepatitis B Testing, and Hepatitis C Testing."
What other laboratory tests might my healthcare practitioner perform?,"In addition to tests for hepatitis viruses, your healthcare practitioner may choose to run tests to see how your liver has been affected. These may include a liver panel or individual liver enzyme tests such as aspartate aminotransferase (AST), alanine aminotransferase (ALT), and alkaline phosphatase (ALP). Your healthcare practitioner may also run a test for bilirubin and a prothrombin time (PT), which can help determine if there is liver damage."
"If I have viral hepatitis, am I contagious?","You may be contagious; it depends on which hepatitis virus you were infected with and the stage of your infection. Often, people with viral hepatitis can spread the infection even though they don't have symptoms. With hepatitis A, you may be contagious from the time you are infected and continue to be contagious, but less so, for several weeks after symptoms, such as jaundice, develop. A person with hepatitis B is contagious as long as the virus is present in their blood. Anyone who tests positive for the presence of hepatitis C virus (HCV RNA test) should be considered contagious. The HCV RNA test may be performed as follow up to a positive result for anti-HCV."
The results of my hepatitis panel came back negative.  What other conditions can cause similar symptoms?,"Hepatitis can be caused by several different factors and conditions such as alcohol, drugs like acetaminophen, or inherited disorders. (For more on these, see the article on Hepatitis.) There are a few other viral infections that may cause similar symptoms, such as cytomegalovirus (CMV) and Epstein-Barr virus (EBV). An autoimmune disease is another possibility your healthcare provider may need to consider if your hepatitis panel is negative. Typically, additional tests will be performed to help determine the cause of your condition."
Can my doctor diagnose tuberculosis without testing my pleural fluid?,"A healthcare practitioner cannot diagnose tuberculosis in the pleural space without testing the pleural fluid. If the infection is present in your lungs, then sputum may be collected or, if meningitis is suspected, cerebrospinal fluid (CSF) would be tested."
Should everyone with suspected tuberculosis have an ADA test performed?,"The ADA test is primarily performed when tuberculosis is suspected in the pleurae, and it is not routinely available in all laboratories. It will be performed when a healthcare practitioner determines that it will be useful and timely in helping to diagnose or rule out tuberculosis."
Can my blood be tested for ADA?,"Yes, and it sometimes is, but it is done for another purpose and not to detect tuberculosis. The blood may be tested to help identify ADA deficiency."
What is the difference between Cushing disease and Cushing syndrome?,"Cushing disease is caused by a pituitary gland tumor (usually benign) that over-secretes the hormone ACTH, thus overstimulating the adrenal glands' cortisol production. Cushing syndrome refers to the signs and symptoms associated with excess cortisol in the body, regardless of the cause. In addition to a pituitary tumor, taking steroid hormones (often used to treat cancer or autoimmune diseases), adrenal gland tumors, and ACTH-producing tumors outside the pituitary gland can cause Cushing syndrome."
What conditions other than liver problems can cause increased ALT?,"ALT is more specific for the liver than AST and so is much less affected by conditions affecting other parts of the body. Nevertheless, injury to organs other than the liver, such as the heart and skeletal muscle, can cause elevations of ALT. For example, small increases may be seen with skeletal muscle damage or heart attacks."
What other tests may be performed to help determine the cause of liver damage?,"After a thorough physical exam and evaluation of a person's medical history, there are several other tests that may be performed as follow up depending on what is suspected to be the cause of liver damage. Some of these include:

Tests for hepatitis A, hepatitis B, and hepatitis C
Testing for exposure to drugs and other substances toxic to the liver (see Drug Abuse Testing and Emergency and Overdose Drug Testing)
Ethanol level
Serum copper level and ceruloplasmin for Wilson disease
Iron tests and genetic tests for hereditary hemochromatosis

A liver biopsy may be performed to help determine the cause of liver injury and to evaluate the extent of liver damage.
For more information, see the article on Liver Disease."
Is anyone at high risk for abnormal albumin levels?,"Individuals who have chronic liver disease and kidney disorders are at highest risk for developing abnormal albumin levels. In addition, individuals whose gastrointestinal tract doesn't absorb nutrients properly and individuals who have prolonged diarrhea can develop abnormal albumin levels."
Is there a home test for albumin levels?,Not for blood albumin; you can test for high albumin levels in urine with a dipstick purchased in a drug store.
"What is the difference between serum/plasma albumin, prealbumin, and urine albumin tests?","Although the names are similar, albumin and prealbumin are completely different molecules. They are both proteins made by the liver, however, and both have been used historically to evaluate nutritional status. Serum/plasma (or blood) albumin is now more often used to screen for and help diagnose liver or kidney disease and is tested on a blood sample. The urine albumin test (in the past, called a microalbumin test) detects and measures albumin in the urine as an early indicator of kidney damage."
"If my posture is important in the outcome of the results, how can I control it?",You may be asked to arrive well before your testing time so you can remain in a lying or upright position long enough to establish that as your baseline testing position.
What are aldosterone stimulation and suppression tests?,"Aldosterone suppression tests are used to confirm a diagnosis of primary aldosteronism. There are a few different types of suppression tests:

You may be instructed to follow a high-salt diet for three days, then have your aldosterone and sodium in your urine measured.
You may have a saline (salt) solution administered through a vein (intravenous, IV) and then have your aldosterone level measured.
You may follow a high-salt diet and be administered a synthetic corticosteroid called fludrocortisone, then have your aldosterone level measured.

In healthy people who are on a high-salt diet or who are administered saline or fludrocortisone, their aldosterone level will be suppressed.
The aldosterone stimulation test, also called ACTH stimulation, tests aldosterone and cortisol to determine if someone has adrenal insufficiency (Addison disease), low pituitary function, or a pituitary tumor. This test involves measuring aldosterone and cortisol before and after an injection of synthetic ACTH. A normal result is an increase in aldosterone and cortisol after stimulation by ACTH."
Should everyone with lung cancer have ALK mutation testing?,Testing is not generally indicated unless a person has non-small cell lung cancer.
Is it necessary to repeat an ALK mutation test?,"This is not usually necessary but might occur if the healthcare practitioner thought that the first sample tested might have been insufficient. In the rare instances where the original biopsy tissue is not sufficient, a new biopsy will be collected from the patient following the biopsy procedure."
Can I receive ALK kinase inhibitor drug therapy and still not benefit from it?,"Yes, most people whose lung cancer has the ALK gene rearrangement will respond, but a percentage will not. Each person and each cancer is different. Also, a person may respond initially and then become resistant to the treatment."
Can I take an ALK kinase inhibitor drug therapy without being tested?,"In most cases, this is not recommended. The drugs have been developed with specific associations and your lung cancer is not likely to respond if you do not meet the identified criteria."
Can this test be performed by my local laboratory?,"It may be available in some larger laboratories and hospitals designated as Comprehensive Cancer Centers by the National Cancer Institute, but most often it will be sent to a reference laboratory."
Can this test be performed on my blood instead?,"Yes, ALK rearrangements could be detected in the DNA of tumor cells that is shed in the blood; however, it is not as reliable as the tissue-based test. Blood testing could be useful when no tissue is available for testing, but the procedure is still investigational."
What other tests are used to evaluate liver disorders?,"There are other commonly used liver tests that measure other enzymes found in liver cells, such as alanine aminotransferase (ALT) and aspartate aminotransferase (AST). A test for bilirubin, a substance produced by the breakdown of red blood cells and removed from the body by the liver, may also be performed. Sometimes these tests (along with albumin and total protein testing) are run together as a liver panel. Other tests that may be performed individually or as part of a liver panel to detect or monitor liver disease include gamma-glutamyl transferase (GGT), lactate dehydrogenase (LDH), and prothrombin time (PT)."
Who is at risk for liver disease and/or damage?,"Some of those who are at risk of liver disease include the following:

People who have been exposed to hepatitis viruses
Heavy drinkers
People who take medication that can be toxic to the liver or who are exposed to other liver toxins
Those who are obese, have metabolic syndrome or insulin resistance
Those who suffer from congestive heart failure
People with an inherited disorder affecting the liver such as Wilson disease or hemochromatosis

See the article on Liver Disease for more on these."
What other laboratory tests may be done if I have a bone disorder?,"Depending on the cause, your condition may be diagnosed and/or monitored using other tests such as calcium, phosphorus, parathyroid hormone, vitamin D, or bone markers (a group of tests used to measure bone formation and bone resorption)."
What other tests are available for allergy testing?,"Skin prick or scratch tests, intradermal tests, patch tests, and oral food challenges are usually performed by an allergist or dermatologist. These tests can be subjective and depend on factors such as dose of allergens, administration of the tests, and interpretation of results.
Your healthcare provider may also try eliminating foods from your diet and then reintroducing them to find out what you are allergic to. It is important that these tests be done under close medical supervision, as a life-threatening anaphylactic reaction is possible."
"My allergy test was negative, but I continue to have symptoms. What else could it be?","You could have an allergy-like condition that is not mediated by IgE for which there are no specific laboratory tests. You might have a genetic hypersensitivity problem, such as sensitivity to gluten with celiac disease or have an enzyme deficiency, such as a lactase deficiency causing lactose intolerance. It could also be another disease that is causing allergy-like symptoms. It is important to investigate your individual situation with your healthcare provider's assistance. Test results alone cannot diagnose allergies, but rather confirm a diagnosis when circumstances suggest an allergy is likely. Results from any type of allergy test have to be interpreted along with your medical history by a healthcare practitioner who is trained to diagnose allergies specifically."
My allergy symptoms are generally mild. How serious is this really?,"Allergic reactions are very individual. They can be mild or severe, vary from exposure to exposure, get worse over time (or may not), involve the whole body, and can sometimes be fatal."
Will my allergies ever go away?,"Although children do outgrow some allergies, adults usually do not. Allergies that cause the worst reactions, such as anaphylaxis caused by peanuts, do not usually go away. Avoidance of the allergen and advance preparation for accidental exposure, in the form of medications such as antihistamines and portable epinephrine injections, is the safest course. Immunotherapy can help decrease symptoms for some unavoidable allergies but won't work for food and the treatment, which usually consists of years of regular injections, may need to be continued indefinitely."
What can I do to take care of myself if I have alpha-1 antitrypsin (AAT) deficiency?,"Don’t smoke. Taking care of your lungs can increase your lifespan and delay the onset of emphysema. Avoid lung irritants such as dust and fumes, get regular vaccinations to protect against pneumococcal pneumonia and Haemophilus influenzae type b infections, for example, and an annual influenza shot, get prompt medical attention for lung infections, and get regular exercise to help maintain lung function. Work with your healthcare practitioner to determine what steps will help you take care of yourself."
How common is alpha-1 antitrypsin deficiency?,"It is thought to be one of the most frequent genetic deficiencies in Caucasians. The American Lung Association estimates that as many as 100,000 people in the U.S. are born with AAT deficiency each year and that as many as 25 million Americans are carriers of at least one deficient gene. AAT is an under diagnosed condition. About only 10% of severely deficient individuals have been identified."
Do I need to have all three types of AAT testing?,"Usually, no. The number of tests and the order in which they are done depend upon the laboratory or medical facility performing the testing. In most cases, the AAT blood test and either the phenotype or genotype test are sufficient. In difficult or unusual cases, all three tests may be ordered."
What are the risk factors for liver cancer?,"This cancer usually occurs when you have chronic scarring of the liver, called cirrhosis. Most commonly, this is caused by chronic infection from one of two viruses: hepatitis B or hepatitis C. Alcohol abuse also increases the risk of developing cirrhosis. Some inherited diseases, especially a disorder called hemochromatosis (in which the body absorbs too much iron, which gets deposited in liver among other organs), can cause cirrhosis and, in time, hepatocellular carcinoma, as can non-alcoholic steatohepatitis (NASH), which is fat deposition in the liver, along with inflammation and damage."
"If my AFP is abnormal, do I need other tests?","If you have chronic liver infection or damage and your AFP suddenly rises, or if it is very elevated, your healthcare practitioner will usually ask for a study to look at your liver, such as an ultrasound exam, a CT scan, an MRI scan, or a biopsy for histopathological evaluation of tumor tissues. The scans can usually spot liver cancers if they are present. Your healthcare practitioner may also order a blood test for des-gamma carboxy prothrombin (DCP), which is also known as prothrombin induced by vitamin K absence-II (PIVKA-II), to help detect and monitor liver cancer."
Can an AFP test be performed at home or in my healthcare practitioner's office?,AFP is not available as a home test and it is not typically performed in a healthcare practitioner's office. Testing is done by either a hospital laboratory or a reference laboratory.
Can I have my level tested at home?,"Although you may receive intravenous aminoglycoside therapy at home, usually administered by a home health professional, blood levels cannot be monitored at home. The test requires specialized equipment and must be performed in a laboratory. The home health professional may draw a blood sample prior to administering the next dose of drug. This sample will be sent to a laboratory for analysis."
Why are aminoglycosides used at all if they can cause permanent hearing loss?,There are risks and benefits associated with almost all drug therapies. Aminoglycosides continue to be very effective at killing Gram-negative bacteria and sometimes these drugs are the best alternative for successfully treating serious infections.
Should all antibiotic therapy be monitored like aminoglycosides?,"No, not all antibiotics require monitoring. Unlike aminoglycosides, most antibiotics are not associated with significant side effects that are predictable with drug levels. They have a larger therapeutic range in which they are effective. Because of this, they can be prescribed based upon pre-established dosing schedules."
Is ammonia testing used to detect or monitor ammonia poisoning?,"Not generally. In most cases, ammonia acts locally, burning or irritating whatever it comes in contact with, but according to the Agency for Toxic Substances and Disease Registry (ATSDR), it does not usually act as a systemic poison. Concentrated commercial ammonia, in a liquid or vapor form, can cause more severe burns than the more dilute liquid household ammonia, but both can damage the eyes, skin, respiratory tract, and, if swallowed, the mouth, throat, and stomach."
"When my increased ammonia level has returned to normal, can it rise again?","It depends on why it was increased in the first place. If you had a temporary condition, then it is likely that the ammonia level will continue to be normal. If you have a chronic condition, then it is possible that it will increase again and your health status will likely need to be monitored. Talk to your healthcare provider about what is best for you."
Should every pregnant woman have amniotic fluid analysis?,"This is a highly personal decision, and one best made by a woman and her healthcare provider working together. The American College of Obstetricians and Gynecologists (ACOG) recommends that all pregnant women be given the option of having amniocentesis performed. Although the associated risk is low, it must be weighed against the desire for information that would be gained by testing. Speaking with a genetic counselor may also be helpful in learning more about the various types of testing available and what to expect from the information that can be learned through them."
Can amniotic fluid analysis be performed in my healthcare practitioner's office?,"No, the testing requires specialized equipment and training to interpret. It needs to be performed in a laboratory and may need to be sent to a reference laboratory. However, the procedure for collecting the amniotic fluid can be done in an outpatient setting, such as a healthcare practitioner's office."
Is the amount of amniotic fluid present important?,"It is in the sense that if there is too much or too little fluid present, it may indicate a problem with the fetus, the placenta, or both. Ultrasound is typically used to estimate the amount of amniotic fluid that is present.

Too little amniotic fluid (oligohydramnios) occurs in approximately 11% of all pregnancies. It is most commonly caused by leaking of amniotic fluid due to a tear in the amniotic sac (premature rupture of the membranes), but it can also be caused by an abnormality of the fetal kidneys and/or urinary tract. If the fetal kidneys are not functioning normally, they will not produce enough urine to replace what the fetus swallows, and if there is a blockage of the urinary tract, it can prevent the urine from cycling back out to the amniotic fluid sac. Pregnancies affected by oligohydramnios are at higher risk for adverse fetal outcomes and should be monitored with care.
Too much amniotic fluid (polyhydramnios) occurs in approximately 1% of all pregnancies and while it typically is not associated with significant issues, it if is severe, it can affect the mother by causing shortness of breath, preterm labor, or severe post-delivery bleeding. In some cases, draining of excess fluid by amniocentesis may be required. In approximately 20% of pregnancies with polyhydramnios, a fetal abnormality is identified, such as an incompletely formed esophagus that prevents the fetus from swallowing the amniotic fluid. However, a majority of the time, the cause is not clear."
Do elevated amylase levels always mean that I have a pancreatic condition?,"No. Amylase levels may also be significantly increased in people with gallbladder attacks. Urine and blood amylase levels may be moderately elevated with a variety of other conditions, such as ovarian cancer, lung cancer, tubal pregnancy, acute appendicitis, diabetic ketoacidosis, mumps, intestinal obstruction, or perforated ulcer, but amylase tests are not generally used to diagnose or monitor these disorders."
Can medications that I am taking affect the amylase level?,"Yes. Some drugs that may cause amylase to rise include aspirin, diuretics, oral contraceptives, corticosteroids, indomethacin, ethyl alcohol, and opiates (such as codeine and morphine)."
What is the difference between P-amylase and S-amylase?,"Amylase is an enzyme that has several different forms called isoenzymes. Different tissues make different forms. P-amylase refers to the type of amylase made mainly in the pancreas. S-amylase refers to the type of amylase made mainly by the salivary glands. P-amylase in the blood increases when the pancreas is inflamed or damaged. S-amylase in the blood increases when the salivary gland is inflamed or damaged. Measuring pancreatic amylase, or P-amylase, may be useful in determining if an increase in a total amylase level is due to acute pancreatitis."
Does everyone with elevated androstenedione have symptoms?,"Not necessarily. The type and severity of symptoms will vary from person to person and will vary with age. Adult men have already developed masculine secondary sexual characteristics, so they will not typically experience symptoms with increased androstenedione."
How long will it take for androstenedione test results?,This depends on the laboratory performing the test. It is not a routine test and not all laboratories offer it. Your sample may need to be sent to a reference laboratory for testing. It may take several days for results to be available.
"Is this test used for purposes other than detecting problems with the adrenal gland, ovaries or testicles?  ","Yes, the level of androstenedione (or ""andro"") can be done as part of testing for sports doping. Androstenedione is sometimes taken illegally by athletes as a performance-enhancing drug. The body converts it to an anabolic steroid (a synthetic version of testosterone). It is intended to help build muscle, but like other anabolic steroids, it can interfere with bone growth, affect the heart, and in some cases cause liver damage."
What other tests are used to diagnose sarcoidosis?,"A variety of tests may be ordered, both to help diagnose sarcoidosis and to determine the degree of organ involvement. Laboratory tests may include a liver panel, complete blood count (CBC), and calcium (both blood and urine levels may be elevated). Other tests may include a physical exam for skin lesions, pulmonary function tests as about 90% of the time there will be some degree of lung involvement, bronchoscopy (a procedure that uses a flexible tube to look at the lining of the airway and to biopsy the lung), chest x-ray, and gallium screening (radioactive gallium is used to evaluate inflammation). Biopsies of the skin, lungs, lymph nodes, and sometimes liver may also be needed, as may a thorough eye exam. A test called a slit-lamp examination may be used."
What causes sarcoidosis?,"The cause is not well understood. It is not contagious. It is inflammatory and involves the immune system. It appears to have a genetic component as well as an environmental one. It has been reported both in related and unrelated individuals living in the same area. Up to 40 people per 100,000 are affected in the U.S., the majority of them between 20 and 40 years old. In the U.S. and in the Caribbean, sarcoidosis is more common in those of African descent, but worldwide about 80% of those with sarcoidosis are white. It is relatively common in Scandinavia and Northern Ireland, but rare in China, Japan, and Africa. For some reason, those who have moved from a part of the world where the prevalence is low to a part of the world where it is high tend to take on the risk of the higher prevalence area."
Can an anti-DNase B or an ASO be used to diagnose strep throat?,No. A rapid strep test and/or throat culture are the best methods to diagnose strep throat. It is important that strep throat be promptly identified and treated to avoid complications and to avoid passing the infection on to others.
Can I develop rheumatic fever or glomerulonephritis at the same time as my strep throat?,"These complications typically develop after the initial strep infection resolves. There is a delay when signs and symptoms appear after the streptococcal infection, about 1-2 weeks for glomerulonephritis and about 2-3 weeks for rheumatic fever."
"If I am diagnosed with strep, will an anti-DNase B or ASO always be performed?","No. In general, these tests are only performed when you have symptoms suggesting that a complication may have developed after a group A strep infection that was not diagnosed and treated appropriately. Most people do not experience these complications, so these tests are not routinely done."
"Like the rapid strep test, can the anti-DNase B test be performed in my doctor's office?","Most doctors' offices will not perform this test, and some laboratories may not offer it. Your blood will typically be sent to a reference laboratory for testing."
Why might it take a long time to be diagnosed with lupus?,"A healthcare practitioner must rely not only test results, but on clinical symptoms and the person's history for a diagnosis. Symptoms may be nonspecific and often come and go. Test results may not initially be positive for some of these autoantibodies due to the cyclic nature of autoimmune disorders. In some cases, it may take months or years to show a pattern that might suggest lupus or any of the other autoimmune diseases."
"If I have been diagnosed with lupus, will it ever go away?  ","There is no cure for lupus, but the symptoms and complications can be managed. Most people with the condition will experience flare-ups, but most will also have periods of few or mild symptoms."
Will my anti-dsDNA ever go away?,"No, once the autoantibody has been produced by the body, it will continue to be present. However, the concentration in the blood will vary over time and can be present at very low levels."
Is there anything I can do to affect my anti-dsDNA level?,Autoantibodies do not respond to lifestyle changes because they reflect the presence and severity of an autoimmune process.
Can the anti-dsDNA test be performed at my healthcare practitioner's office?,The test requires specialized equipment. Your sample will need to be sent to a laboratory that performs these tests.
Should everyone with liver damage be tested for liver kidney microsome type 1 antibodies (anti-LKM-1)?,"This is not usually necessary. Most cases of hepatitis will be due to another identifiable cause. However, if the person with symptoms is a young girl without other risk factors and/or the healthcare practitioner suspects an autoimmune process, then anti-LKM-1, ANA, and SMA testing may be performed."
Will anti-LKM-1 ever go away?,"No. Levels may vary over time, but once the autoantibodies have developed, they will be present throughout a person's life."
Can I have more than one cause of hepatitis?,"Yes. For instance, autoimmune hepatitis can co-exist with a viral hepatitis, such as hepatitis B or hepatitis C, and can become worse with liver damage caused by alcohol abuse. Since the treatment of hepatitis depends on the cause, it is very important that your healthcare practitioner understand the underlying cause(s) of your condition."
How fast does autoimmune hepatitis progress?,"The course and severity of autoimmune hepatitis is hard to predict. It may be acute or chronic. Some people will have no or few symptoms for many years and are diagnosed when routine liver tests are abnormal. Those with type 2 autoimmune hepatitis often have a more severe case, but it is usually manageable with proper treatment. Appropriate treatment is important to limit liver damage. For more information, consult with your healthcare provider and see the related links."
"If this antibody targets CYP450 2D6, why is it called anti-liver kidney microsome-1 (anti-LKM-1)?  ","This antibody was originally detected using tissue from the liver and kidney, hence the name anti-LKM-1. However, the specific protein in those tissues that the antibody targets (the major antigen) has since been identified as cytochrome P450 2D6 (CYP2D6). This protein is a major enzyme that metabolizes about 25% of drugs as well as toxic substances. It is primarily found in cells of the liver and kidney, mainly within structures called microsomes."
How long does it take for AMH results?,This test requires specialized equipment and must be performed in a laboratory. Your blood may need to be sent to a reference laboratory and it may take one to several days for results to be available.
How serious is myasthenia gravis (MG)?,"Most people who have MG can live a normal or near normal life with treatment and monitoring. One of the most serious complications is a respiratory myasthenic crisis that can occur when muscles that control breathing are weakened. This can be a medical emergency and often requires hospitalization. For additional details, see the article on Myasthenia Gravis."
Does it matter which antibodies I have?,"Yes, the type of autoantibody may guide the treatment for MG. People with anti-MuSK antibodies may respond differently to medications than people with AChR antibodies."
