target question,query entities,target clarification question,valid clarifying entities,candidates,iir outputs,iir f1,iir bleu,gpt3 only query outputs,gpt3 only query f1,gpt3 only query bleu,gpt3 only actual outputs,gpt3 only actual f1,gpt3 only actual bleu,gpt3 pair outputs,gpt3 pair f1,gpt3 pair bleu,gpt3 choices outputs,gpt3 choices f1,gpt3 choices bleu,t5 only query outputs,t5 only query f1,t5 only query bleu,t5 only actual outputs,t5 only actual f1,t5 only actual bleu,t5 pair outputs,t5 pair f1,t5 pair bleu,t5 choices outputs,t5 choices f1,t5 choices bleu
Should relatives of someone with an inherited protein C or protein S deficiency be tested?,"['inherit', 'defici']",Do you want to know about testing for potential inherited deficiencies?,"{'potenti', 'test'}","['Are there other causes of VWF deficiency besides inherited causes?', 'Should relatives of someone with an inherited protein C or protein S deficiency be tested?']","Do you want to know about inherit, defici, and someon?",0,0.9831143441193168, Do you want to know about ways to manage an inherited deficiency?,0,0.8860807458582579, Do you want to know about testing for protein C or protein S deficiency?,0.4,0.4799064265619985, Do you want to know about testing for inherited protein C or protein S deficiency?,0.4,0.4235077809008657, Do you want to know about inherited causes of VWF deficiency?,0,0.7451021228175467,Do you want to know about inherited deficiency?,0,1.1369641416316925,Do you want to know about the protein C or protein S deficiency test,0.4,0.5900190585928647,Do you want to know about inherited protein deficiency?,0,0.8266973277544403,Do you want to know about inherited deficiency?,0,1.1369641416316925
One of the results from my CMP is slightly out of range. What does this mean?,"['cmp', 'result']",Do you want to know about The meaning of my CMP results.,{'mean'},['One of the results from my CMP is slightly out of range. What does this mean?'],"Do you want to know about cmp, result, and slightli?",0,1.2007785714941597, Do you want to know about what your CMP results mean?,1.0,1.2696687552531354, Do you want to know about one of the results from your CMP being slightly,0,0.7451021228175467, Do you want to know about one of the results from your CMP being out,0,1.0097303962829152, Do you want to know about one of the results from your CMP being out,0,1.0097303962829152,Do you want to know about CMP results?,0,1.4598908557176542,Do you want to know about what is the difference between CMP and CMP?,0,0.9396600131639694,Do you want to know about what results are from CMP?,0,1.2276169872346532,Do you want to know about what results are available from CMP?,0,1.0097303962829152
How long will a drug test detect THC after marijuana use?,"['thc', 'long']",Do you want to know about THC detection test use?,"{'use', 'detect', 'test'}",['How long will a drug test detect THC after marijuana use?'],"Do you want to know about thc, long, and drug?",0,0.6086039976247181, Do you want to know about the effects of THC on the body in the long,0,0.6933956560212984, Do you want to know about how long THC can be detected in a drug test,0.6666666666666666,0.7419096884247227, Do you want to know about how long THC will show up on a drug test,0.3333333333333333,0.5900190585928647, Do you want to know about how long THC can be detected in a drug test,0.6666666666666666,0.7419096884247227,Do you want to know about THC long?,0,0.687597874961049,Do you want to know about THC after marijuana use,0.4,0.6539875562351284,Do you want to know about how long THC tests can detect after marijuana use,0.8571428571428571,0.5399743822135475,Do you want to know about how long will THC be detected after marijuana use?,0.6666666666666666,0.7419096884247227
"Once I have developed TNF inhibitor antibodies, will they go away?","['tnf', 'antibodi']",Do you want to know about if TNF inhibitor antibodies go away?,"{'inhibitor', 'go', 'away'}","['Once I have developed TNF inhibitor antibodies, will they go away?', 'If I develop antibodies to one type of TNF inhibitor therapy, and I am switched to a different one, will I develop antibodies to the second TNF inhibitor?']","Do you want to know about tnf, antibodi, and away?",0.5,0.5661585779062595, Do you want to know about TNF antibodies and their role in the immune system,0,0.4799064265619985, Do you want to know about the TNF inhibitor antibodies?,0.5,0.6703200460356393, Do you want to know about the natural course of TNF inhibitor antibodies?,0.3333333333333333,0.5615738594645787, Do you want to know about the effects of TNF inhibitor antibodies?,0.4,0.5932596191966412,Do you want to know about TNF antibodies?,0,0.5754340934503409,Do you want to know about TNF inhibitor antibodies?,0.5,0.6703200460356393,Do you want to know about TNF inhibitor antibodies?,0.5,0.6703200460356393,Do you want to know about antibodies to the second TNF inhibitor,0.4,0.7930825407343808
I was diagnosed with colon cancer and testing was first done on my tumor. Why?,"['tumor', 'diagnosi']",Do you want to know about diagnosis of colon cancer from a tumor?,"{'colon', 'cancer'}",[],"Do you want to know about tumor, diagnosi, and tumor?",0,0.8266973277544403, Do you want to know about how tumors are diagnosed?,0,0.8897225230820115, Do you want to know about why testing is done on tumors?,0,0.7693285502150031, Do you want to know about tumor diagnosis testing?,0,0.8266973277544403, Do you want to know about how tumors are diagnosed?,0,0.8897225230820115,Do you want to know about how to diagnose a tumor?,0,0.8897225230820115,Do you want to know about colon cancer?,1.0,1.1369641416316925,Do you want to know about what is the tumor diagnosis?,0,0.9560690709701066,Do you want to know about what to do with tumor diagnosis?,0,0.9560690709701066
Do I need cervical cancer testing even if I've had the HPV vaccine?,"['hpv', 'cancer']",Do you want to know about HPV vaccine and cancer risk,"{'vaccin', 'risk'}","[""Do I need cervical cancer testing even if I've had the HPV vaccine?"", ""I'm a woman who has had the HPV vaccine. Do I need cervical cancer screening?"", 'Besides HPV, what are other risk factors for cervical cancer in women?']","Do you want to know about hpv, cancer, and need?",0,0.6539875562351284, Do you want to know about HPV and cancer?,0,0.7388720016189068, Do you want to know about cervical cancer testing even if you have had the HPV,0,0.5900190585928647, Do you want to know about cervical cancer testing after HPV vaccination?,0.4,0.7419096884247227, Do you want to know about HPV and cervical cancer screening?,0,0.5989311269184457,Do you want to know about HPV cancer diagnosis?,0,0.6539875562351284,Do you want to know about cervical cancer testing,0,0.7693285502150031,Do you want to know about cervical cancer testing,0,0.7693285502150031,Do you want to know about what is HPV cancer?,0,0.7388720016189068
"In addition to lead, mercury, arsenic, cadmium and chromium, what are some other metals that may be tested?",['metal'],Do you want to know about Other metals that might be tested.,"{'might', 'test'}","['How is someone exposed to toxic metals?', 'How can I test my soil, water, or the paint on my house for heavy metals?', 'In addition to lead, mercury, arsenic, cadmium and chromium, what are some other metals that may be tested?']","Do you want to know about metal, and hous?",0,0.8828931479104666,"

What other metals do you want to know about?",0,1.1449774529997572, Do you want to know about other metals that may be tested?,0.5,0.7987822049880149, Do you want to know about other metals that may be tested?,0.5,0.7987822049880149, Do you want to know about exposure to toxic metals?,0,0.9396600131639694,Do you want to know about other metals?,0,0.8510876391968751,Do you want to know about other metals that may be tested?,0.5,0.7987822049880149,Do you want to know about other metals?,0,0.8510876391968751,Do you want to know about metals tested?,0.6666666666666666,0.9487304297576223
Is a CD4 cell count used in conditions other than HIV infection?,"['cd', 'condit']",Do you want to know about which conditions use a CD4 cell count?,"{'use', 'count', 'cell'}",['Is a CD4 cell count used in conditions other than HIV infection?'],"Do you want to know about cd, condit, and hiv?",0,0.6768425257199481, Do you want to know about CD4 cell conditions?,0.5,0.8510844184712946, Do you want to know about other conditions where a CD4 cell count is used,1.0,0.7806045452538866, Do you want to know about other conditions where a CD4 cell count is used,1.0,0.7806045452538866, Do you want to know about other conditions where a CD4 cell count is used,1.0,0.7806045452538866,Do you want to know about what conditions are used for CD4?,0.5,0.6703200460356393,Do you want to know about CD4 cell count in HIV infection,0.5714285714285715,0.5615738594645787,Do you want to know about CD4 conditions,0,0.7445873411418696,Do you want to know about CD4 conditions,0,0.7445873411418696
Should every pregnant woman have amniotic fluid analysis?,"['pregnant', 'women']",Do you want to know about pregnant women having an amniotic fluid analysis?,"{'analysi', 'amniot', 'fluid'}","['Should pregnant women be vaccinated for rubella?', 'Is it ok for pregnant women and young children to eat fish?']","Do you want to know about pregnant, women, and fish?",0,0.4482700320176827, Do you want to know about ways to increase platelet count in pregnant women?,0,0.580240235081671, Do you want to know about amniotic fluid analysis for pregnant women?,1.0,0.6564075638347492, Do you want to know about amniotic fluid analysis for pregnant women?,1.0,0.6564075638347492, Do you want to know about rubella vaccination for pregnant women?,0,0.75005115814646,Do you want to know about pregnant women?,0,0.4723665527410147,Do you want to know about amniotic fluid analysis in pregnant women?,1.0,0.6564075638347492,Do you want to know about the risks of amniotic fluid analysis,0.8571428571428571,0.5932596191966412,Do you want to know about vaccinating pregnant women for rubella?,0,0.75005115814646
How do I know what to eat and where can I get help?,"['eat', 'help']",Do you want to know about help with finding out what to eat?,{'find'},['How do I know what to eat and where can I get help?'],"Do you want to know about eat, help, and get?",0,1.0097303962829152,"

What do you need help with specifically when it comes to eating?",0,1.208705522041144, Do you want to know about healthy eating habits?,0,0.9396600131639694, Do you want to know about healthy eating and where to get help?,0,0.7451021228175467, Do you want to know about resources to help you with eating?,0,1.0097303962829152,Do you want to know about how to eat help?,0,1.2276169872346532,Do you want to know about eating and how to get help?,0,1.0097303962829152,Do you want to know about what to eat and where to get help?,0,1.0097303962829152,Do you want to know about what to eat and where can I get help?,0,1.0097303962829152
Why might it take a long time to be diagnosed with lupus?,"['lupu', 'diagnos']",Do you want to know about how lupus is diagnosed?,set(),"['If I have been diagnosed with lupus, will it ever go away?', 'Why might it take a long time to be diagnosed with lupus?', 'Should I tell all my healthcare providers about being diagnosed with drug-induced lupus?']","Do you want to know about lupu, diagnos, and tell?",0,0.7433506013261361, Do you want to know about how lupus is diagnosed?,0,1.0, Do you want to know about the symptoms of lupus?,0,1.4669044488262981, Do you want to know about the reasons for delayed diagnosis of lupus?,0,0.6933956560212984, Do you want to know about living with a lupus diagnosis?,0,0.9396600131639694,Do you want to know about how lupus is diagnosed?,0,1.0,Do you want to know about why lupus takes longer?,0,0.7433506013261361,Do you want to know about why lupus can be diagnosed?,0,1.0,Do you want to know about how to get diagnosed with lupus?,0,1.0097303962829152
Can the anti-dsDNA test be performed at my healthcare practitioner's office?,"['antidsdna', 'offic']",Do you want to know about anti-dsDNA tests and healthcare office,"{'healthcar', 'test'}","[""Can the anti-dsDNA test be performed at my healthcare practitioner's office?""]","Do you want to know about antidsdna, offic, and test?",0.6666666666666666,0.6915076486107447, Do you want to know about the anti-dsDNA test done at your healthcare,0.8,0.537284965911771, Do you want to know about anti-dsDNA tests done at your healthcare office,0.8,0.488923022434901, Do you want to know about anti-dsDNA tests done at your healthcare office,0.8,0.488923022434901, Do you want to know about anti-dsDNA tests done at your healthcare office,0.8,0.488923022434901,Do you want to know about what is happening in the anti-dsDNA lab?,0,0.7693285502150031,Do you want to know about how to perform antidsDNA test?,0.5,0.9831143441193168,Do you want to know about where can anti-dsDNA test be performed?,0.5,0.5475182535069453,Do you want to know about what can be done with anti-dsDNA test?,0.5,0.9831143441193168
What are some other tests that may be done when the PSA level is only slightly elevated to help decide whether a prostate cancer is present?,"['prostat', 'psa']",Do you want to know about slightly elevated PSA levels and prostate cancer?,"{'level', 'elev', 'slightli', 'cancer'}","['Will PSA testing detect all prostate cancers?', 'What are some other tests that may be done when the PSA level is only slightly elevated to help decide whether a prostate cancer is present?']","Do you want to know about prostat, psa, and level?",0.4,0.6968089868679392, Do you want to know about the prostate-specific antigen (PSA) test,0,0.4968396981551133, Do you want to know about other tests done when PSA is slightly elevated?,0.5,0.6431451125059353, Do you want to know about other tests that may be done when the PSA,0,0.4968396981551133, Do you want to know about the PSA test for prostate cancer?,0.3333333333333333,0.6713298770614694,Do you want to know about prostate cancer and PSA?,0.4,0.6968089868679392,Do you want to know about prostate cancer tests?,0.3333333333333333,0.6590012524083576,Do you want to know about prostate cancer?,0.4,0.6896036108934784,Do you want to know about prostate cancers?,0.4,0.6896036108934784
Should I tell my other healthcare providers that I am taking sirolimus?,"['sirolimu', 'healthcar']",Do you want to know about sirolimus and if you should tell your healthcare provider?,"{'tell', 'provid'}",['Should I tell my other healthcare providers that I am taking sirolimus?'],"Do you want to know about sirolimu, healthcar, and take?",0,0.6539875562351284, Do you want to know about sirolimus and how it is used in,0,0.687597874961049, Do you want to know about telling your other healthcare providers about taking sirolim,0.6666666666666666,0.5615738594645787, Do you want to know about disclosing sirolimus use to other healthcare providers,0.4,0.7419096884247227, Do you want to know about disclosing sirolimus use to other healthcare providers,0.4,0.7419096884247227,Do you want to know about sirolimus and how to get a si,0,0.6086039976247181,Do you want to know about sirolimus?,0,0.6098309415268892,Do you want to know about sirolimus?,0,0.6098309415268892,Do you want to know about sirolimus?,0,0.6098309415268892
"If my RBC Count is out of range, what other tests might be done?","['rbc', 'count']",Do you want to know about what other tests can be done if RBC count is out of range?,"{'rang', 'test', 'done'}","['Can the reticulocyte count be done on the same tube of blood as the RBC count or CBC?', 'Can my RBC count be tested at my doctor¡¦s office?', 'If my RBC Count is out of range, what other tests might be done?', 'My RBC count is slightly out of range. What does this mean?']","Do you want to know about rbc, count, and done?",0.5,0.8510844184712946, Do you want to know about ways to increase your RBC count?,0,0.75005115814646, Do you want to know about other tests that might be done if your RBC,0.6666666666666666,0.5932596191966412, Do you want to know about other tests that might be done if your RBC,0.6666666666666666,0.5932596191966412, Do you want to know about RBC counts and what they mean?,0,0.8049059473225744,Do you want to know about RBC count?,0,0.8854685638268697,Do you want to know about tests for RBC Count?,0.5,0.6265574618521033,Do you want to know about RBC count tests?,0.5,0.8510844184712946,Do you want to know about RBC count?,0,0.8854685638268697
Will every person with cancer have a CEA test performed?,"['cancer', 'cea']",Do you want to know about CEA tests for someone with cancer?,"{'test', 'someon'}","['If I am a smoker, does an elevated CEA level mean I have cancer?', 'Will every person with cancer have a CEA test performed?']","Do you want to know about cancer, cea, and level?",0,0.8266973277544403, Do you want to know about the CEA test for cancer?,0.6666666666666666,0.5789300674674098, Do you want to know about who will have a CEA test performed?,0.5,0.5475182535069453, Do you want to know about the CEA test and cancer?,0.6666666666666666,0.5789300674674098, Do you want to know about the CEA test and cancer?,0.6666666666666666,0.5789300674674098,Do you want to know about if you have a cancer test?,0.6666666666666666,0.9560690709701066,Do you want to know about how to get CEA test?,0.5,0.9831143441193168,Do you want to know about how to get a CEA test for cancer?,0.5,0.9369163177585036,Do you want to know about the CEA level of cancer?,0,0.6539875562351284
Shouldn't someone with a family history of diabetes have a fructosamine test?,"['histori', 'diabet']",Do you want to know about having a fructosamine test when there is a history of diabetes.,"{'test', 'fructosamin'}","[""Shouldn't someone with a family history of diabetes have a fructosamine test?""]","Do you want to know about histori, diabet, and someon?",0,0.9831143441193168, Do you want to know about the history of diabetes?,0,1.1369641416316925, Do you want to know about fructosamine tests and family history of diabetes,0.8,0.488923022434901, Do you want to know about fructosamine tests for people with a family,0.6666666666666666,0.5081327481546147, Do you want to know about fructosamine tests for people with a family,0.6666666666666666,0.5081327481546147,Do you want to know about how to get diagnosed with diabetes?,0,0.7693285502150031,Do you want to know about fructosamine test for family history of diabetes,0.8,0.488923022434901,Do you want to know about what to do with family history of diabetes?,0,0.9831143441193168,Do you want to know about what to do with family history of diabetes?,0,0.9831143441193168
Can serum free light chain testing be done at home or in my healthcare practitioner's office?,"['serumfre', 'test']",Do you want to know about where serum-free light chain testing is done?,"{'chain', 'light', 'done'}",[],"Do you want to know about serumfre, test, and serumfre?",0,0.6298729432819214, Do you want to know about serum-free testing methods?,0,0.5354397244200156, Do you want to know about serum free light chain testing done at home?,0.6666666666666666,0.3549481056010053, Do you want to know about serum free light chain testing?,0.5714285714285715,0.5615738594645787, Do you want to know about serum-free testing methods?,0,0.5354397244200156,Do you want to know about serum-free testing?,0,0.5754340934503409,Do you want to know about serum free light chain testing,0.5714285714285715,0.5615738594645787,Do you want to know about serum-free light chain testing?,0.8,0.846481724890614,Do you want to know about serum-free testing?,0,0.5754340934503409
What is the difference between multidrug-resistant TB (MDR-TB) and extensively-resistant TB (XDR-TB)?,"['differ', 'multidrugresist']",Do you want to know about the difference between multidrug-resistant TB and extensively-resistant TB?,"{'tb', 'extensivelyresist'}",['What is the difference between multidrug-resistant TB (MDR-TB) and extensively-resistant TB (XDR-TB)?'],"Do you want to know about differ, multidrugresist, and mdrtb?",0,0.4482700320176827,"

Do you want to know about the difference between multidrug-resistant",0,0.4723665527410147, Do you want to know about the difference between MDR-TB and XDR,0,0.4982828093015557, Do you want to know about the difference between MDR-TB and XDR,0,0.4982828093015557, Do you want to know about the difference between MDR-TB and XDR,0,0.4982828093015557,Do you want to know about difference between multidrug-resistant and difference,0,0.4482700320176827,Do you want to know about the difference between multidrug-resistant TB ,0.6666666666666666,0.6703200460356393,Do you want to know about difference between multidrug-resistant TB (,0.6666666666666666,0.6703200460356393,Do you want to know about difference between multidrug-resistant TB (,0.6666666666666666,0.6703200460356393
Do healthcare practitioners test thyroid hormones during pregnancy?,"['thyroid', 'pregnanc']",Do you want to know about getting your thyroid tested during pregnancy?,"{'test', 'get'}","['Do healthcare practitioners test thyroid hormones during pregnancy?', 'Do healthcare practitioners test thyroid hormones during pregnancy?']","Do you want to know about thyroid, pregnanc, and test?",0.6666666666666666,0.8741259979306506, Do you want to know about how pregnancy affects thyroid function?,0,0.7451021228175467, Do you want to know about testing thyroid hormones during pregnancy?,0.5,0.7878495729958358, Do you want to know about thyroid hormone testing during pregnancy?,0.5,0.9369163177585036, Do you want to know about testing thyroid hormones during pregnancy?,0.5,0.7878495729958358,Do you want to know about thyroid pregnancy?,0,0.9560690709701066,Do you want to know about thyroid hormones during pregnancy,0,0.8266973277544403,Do you want to know about thyroid hormone testing during pregnancy,0.5,0.9369163177585036,Do you want to know about thyroid hormone testing during pregnancy,0.5,0.9369163177585036
"If a drop of blood on a slide contains millions of RBCs, thousands of WBCs, and hundreds of thousands of platelets, how can the laboratorian see individual cells?","['laboratorian', 'million']",Do you want to know about how laboratorians see millions of cells in slides?,"{'slide', 'see', 'cell'}","['If a drop of blood on a slide contains millions of RBCs, thousands of WBCs, and hundreds of thousands of platelets, how can the laboratorian see individual cells?']","Do you want to know about laboratorian, million, and slide?",0.5,0.5661585779062595," I'm sorry, I don't understand what you mean by ""laborator",0,0, Do you want to know how laboratorians can see individual cells on a blood,0.5714285714285715,0.4347208719449914, Do you want to know how a laboratorian can see individual cells on a,0.6666666666666666,0.4548019047027907, Do you want to know about how laboratorians see individual cells in a drop,0.5714285714285715,0.4347208719449914,Do you want to know about the millions of Laboratorian workers?,0,0.6768425257199481,Do you want to know about how to see individual cells?,0.6666666666666666,0.6768425257199481,Do you want to know about how to see individual cells?,0.6666666666666666,0.6768425257199481,Do you want to know about what happens when a drop of blood on a slide cont,0.25,0.5490746028893664
How much vitamin D should I be getting each day?,"['vitamin', 'day']",Do you want to know about what vitamins to take each day,{'take'},['How much vitamin D should I be getting each day?'],"Do you want to know about vitamin, day, and get?",0,0.7987822049880149, Do you want to know about vitamins and their recommended daily intake?,0,0.5573682169778019, Do you want to know about the recommended daily intake of vitamin D?,0,0.6933956560212984, Do you want to know about the recommended daily intake of vitamin D?,0,0.6933956560212984, Do you want to know the recommended daily intake of vitamin D?,0,0.6933956560212984,Do you want to know about vitamin day?,0,0.9487304297576223,Do you want to know about vitamin D?,0,0.8510876391968751,Do you want to know about vitamin D?,0,0.8510876391968751,Do you want to know about vitamin D?,0,0.8510876391968751
Can an apo A-I test be performed in my doctor's office or at home?,"['ai', 'doctor']",Do you want to know about A-I tests at home or doctors office?,"{'offic', 'home', 'test'}","[""Can an apo A-I test be performed in my doctor's office or at home?""]","Do you want to know about ai, doctor, and apo?",0,0.5354397244200156, Do you want to know about artificial intelligence in healthcare?,0,0.5691544535691744, Do you want to know about having an apo A-I test done at,0.3333333333333333,0.75005115814646, Do you want to know about apo A-I tests?,0.4,0.8049059473225744, Do you want to know about AI doctors?,0,0.5754340934503409,Do you want to know about AI doctors?,0,0.5754340934503409,Do you want to know about apo A-I test?,0.4,0.8049059473225744,Do you want to know about how to perform apo A-I test in your doc,0.28571428571428575,0.7016548624658421,Do you want to know about how to perform apo A-I test in your doc,0.28571428571428575,0.7016548624658421
